date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:42:00	84/84	------	200	untouched ('OK')	text/plain	etag:W/%22ba01f78-44-582f3c127f184%22	https://johnyvino.com/robots.txt		(from )
10:42:00	190490/190490	------	200	untouched ('OK')	text/html	date:Mon,%2014%20Sep%202020%2006:39:13%20GMT	https://johnyvino.com/	/home/adonis/Documents/joy-site/joysite/johnyvino.com/index.html	(from )
10:42:00	156/156	------	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Dec%202021%2009:40:00%20GMT	https://s3.amazonaws.com/johny-ui-assets/dp.jpg	/home/adonis/Documents/joy-site/joysite/s3.amazonaws.com/johny-ui-assets/dp.4.delayed	(from https://johnyvino.com/)
10:42:00	661/661	------	200	untouched ('')	application/json	etag:W/%22ba01f75-295-582f3c11ae5ab%22	https://johnyvino.com/manifest.json	/home/adonis/Documents/joy-site/joysite/johnyvino.com/manifest.json	(from https://johnyvino.com/)
10:42:02	219115/219115	---M--	200	added ('OK')	image/png	etag:%22ba00012-357eb-5af3f7012df56%22	https://johnyvino.com/images/newwork/familywall/home/1.png	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/familywall/home/1.png	(from https://johnyvino.com/)
10:42:04	850670/850670	---M--	200	added ('OK')	video/mp4	etag:%22ba02085-cfaee-582f3d691a6a0%22	https://johnyvino.com/images/newwork/Microsoft/Invite-calendar.mp4	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/Microsoft/Invite-calendar.mp4	(from https://johnyvino.com/)
10:42:05	3095/3095	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b9e06bc-c17-582f40f284de3%22	https://johnyvino.com/images/workLoader.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/workLoader.svg	(from https://johnyvino.com/)
10:42:06	153/153	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ba0234e-99-582f3e14a4023%22	https://johnyvino.com/images/work/arrow-light.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/work/arrow-light.svg	(from https://johnyvino.com/)
10:42:07	699186/699186	---M--	200	added ('OK')	video/mp4	etag:%22ba020a6-aab32-582f3d8ce9692%22	https://johnyvino.com/images/newwork/onfo/home/2.mp4	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/onfo/home/2.mp4	(from https://johnyvino.com/)
10:42:07	172/172	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ba0234d-ac-582f3e13f090b%22	https://johnyvino.com/images/work/arrow-dark.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/work/arrow-dark.svg	(from https://johnyvino.com/)
10:42:09	169991/169991	---M--	200	added ('OK')	image/png	etag:%22ba01fb8-29807-582f3cab7c65f%22	https://johnyvino.com/images/newwork/byjus/1byjus.png	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/byjus/1byjus.png	(from https://johnyvino.com/)
10:42:09	3331236/3331236	---M--	200	added ('OK')	image/png	etag:%22ba0007b-32d4a4-5af400d367afc%22	https://johnyvino.com/images/newwork/applewatch/home/11.png	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/applewatch/home/11.png	(from https://johnyvino.com/)
10:42:10	2151/2151	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b9e06b2-867-582f3c79fbc8c%22	https://johnyvino.com/images/loader.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/loader.svg	(from https://johnyvino.com/)
10:42:11	109307/109307	---M--	200	added ('OK')	image/png	etag:%22ba02326-1aafb-582f3dfb04adf%22	https://johnyvino.com/images/newwork/zoho/home/01.png	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/zoho/home/01.png	(from https://johnyvino.com/)
10:42:12	201/201	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ba02309-c9-582f3dd8fc847%22	https://johnyvino.com/images/newwork/work-arrow-light.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/work-arrow-light.svg	(from https://johnyvino.com/)
10:42:12	201/201	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ba0203a-c9-582f3d2397f8d%22	https://johnyvino.com/images/newwork/work-arrow-dark.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/work-arrow-dark.svg	(from https://johnyvino.com/)
10:42:13	448/448	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ba0201d-1c0-582f3cfd70e0a%22	https://johnyvino.com/images/newwork/lock-dark.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/lock-dark.svg	(from https://johnyvino.com/)
10:42:15	451/451	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22ba02036-1c3-582f3d205d4fb%22	https://johnyvino.com/images/newwork/lock-white.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/lock-white.svg	(from https://johnyvino.com/)
10:42:15	25816/25816	---M--	200	added ('OK')	image/png	etag:%22b9e065f-64d8-582f3c6a29bbc%22	https://johnyvino.com/images/about/meold.png	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/about/meold.png	(from https://johnyvino.com/)
10:42:16	7621/7621	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b9e06a3-1dc5-582f3c7455401%22	https://johnyvino.com/images/illustration.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/illustration.svg	(from https://johnyvino.com/)
10:42:17	1333/1333	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%22b9e06b7-535-582f3c7b24a8d%22	https://johnyvino.com/images/modalClose.svg	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/modalClose.svg	(from https://johnyvino.com/)
10:42:19	315/315	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2029%20Dec%202021%2009:42:19%20GMT	https://johnyvino.com/www.onfocoin.com	/home/adonis/Documents/joy-site/joysite/johnyvino.com/www.onfocoin.com	(from https://johnyvino.com/)
10:42:21	2089963/2089963	---M--	200	added ('OK')	video/mp4	etag:%22ba0201f-1fe3eb-582f3d0f952ab%22	https://johnyvino.com/images/newwork/familywall/home/1.mp4	/home/adonis/Documents/joy-site/joysite/johnyvino.com/images/newwork/familywall/home/1.mp4	(from https://johnyvino.com/)
